helmet1, 2, 2, 121, 93, 39, 1, 15, 37
helmet2, 125, 2, 123, 93, 38, 1, 14, 37
helmet3, 250, 2, 127, 95, 36, 2, 12, 34
helmet4, 379, 2, 131, 95, 35, 5, 9, 31
helmet5, 2, 99, 137, 99, 30, 5, 8, 27
helmet6, 141, 99, 141, 101, 24, 8, 10, 22
helmet7, 284, 99, 143, 103, 19, 12, 13, 16
helmet8, 2, 204, 157, 107, 14, 19, 4, 5
helmet9, 161, 204, 167, 103, 8, 27, 0, 1
helmet10, 330, 204, 169, 87, 3, 35, 3, 9
helmet11, 2, 313, 169, 87, 3, 31, 3, 13
helmet12, 173, 313, 169, 87, 3, 30, 3, 14
helmet13, 2, 402, 169, 85, 3, 34, 3, 12
helmet14, 173, 402, 169, 87, 3, 34, 3, 10
helmet15, 330, 204, 169, 87, 3, 35, 3, 9
